tconst	averageRating	numVotes
tt10196140	6.5	906
tt10196142	4.6	1652
tt10196398	7.0	1890
tt10196464	7.6	3619
tt10197354	8.4	285
tt10197632	6.1	8
tt10197650	6.0	328
tt10197804	4.5	10
tt10198952	6.2	8
tt10199586	6.7	8416
tt10199640	7.1	9312
tt10199664	7.1	993
tt10199670	4.6	913
tt10199914	6.8	12820
tt10199974	8.1	2923
tt10201328	5.7	80
tt10203940	3.9	91
tt10203982	5.6	131
tt10204300	5.6	23
tt10204704	3.9	64
tt10204756	6.0	26
tt10204940	7.3	1830
tt10204998	4.1	123
tt10205046	5.2	72
tt10206162	6.1	12
tt10206204	4.2	26
tt10206400	5.2	159
tt10206614	5.6	137
tt10208194	6.7	2125
tt10209164	6.6	112
tt10210182	6.5	695
tt10213380	6.2	867
tt10214162	6.7	11
tt10214198	5.6	14
tt10214826	8.4	10075
tt10214842	3.2	830
tt10214900	8.2	10
tt10217148	8.3	19
tt10217460	7.1	9
tt10217624	7.1	104
tt10217780	6.0	183
tt10217930	6.8	45
tt10218912	7.4	449
tt10219146	7.1	679
tt10219406	6.1	293
tt10219674	5.0	113
tt10219730	3.5	8
tt10222752	5.2	138
tt10223546	5.9	573
tt10223552	6.5	404
tt10224624	6.0	404
tt10225092	6.4	217
tt10225288	6.4	162
tt10226012	6.2	15
tt10228180	5.8	160
tt10228188	5.6	59
tt10228204	6.2	1036
tt10228546	6.5	161
tt10229588	6.9	13
tt10229794	5.7	351
tt10229932	7.4	128
tt10229982	6.4	464
tt10230288	7.1	27
tt10230290	7.0	28
tt10230316	7.2	38
tt10230414	6.8	6394
tt10230436	7.6	1128
tt10230492	5.3	108
tt10230576	8.7	28
tt10232800	7.6	5
tt10233050	9.0	20
tt10233406	4.1	97
tt10233502	6.9	14
tt10233504	8.7	7
tt10234084	4.5	35
tt10234494	3.8	44
tt10234740	4.8	13
tt10234992	5.1	11
tt10235600	3.4	1035
tt10235718	5.0	1077
tt10235786	5.8	16
tt10237592	5.3	61
tt10237612	7.1	473
tt10239320	6.1	305
tt10240752	5.2	23
tt10240886	7.2	86
tt10243430	3.3	21
tt10243678	6.5	4301
tt10243774	6.6	9
tt10244008	5.5	240
tt10244472	4.1	46
tt10244550	7.0	10
tt10244592	6.2	28
tt10244726	7.0	740
tt10244756	6.7	137
tt10244760	6.4	324
tt10245360	4.3	95
tt10245616	6.4	24
tt10245956	6.5	27
tt10246058	7.8	5
tt10247160	8.0	24
tt10247750	6.1	37
tt10248334	7.0	299
tt10249780	7.5	1025
tt10251300	5.2	55
tt10251538	5.3	634
tt10251962	4.8	43
tt10252330	6.7	526
tt10256570	6.2	1659
tt10256818	8.7	22
tt10256894	4.8	64
tt10257496	3.9	7
tt10257924	2.8	50
tt10259162	5.4	55
tt10260294	3.8	362
tt10260692	5.5	715
tt10260810	4.1	18
tt10262160	5.8	90
tt10262380	6.0	1452
tt10262492	3.3	39
tt10262632	6.5	13
tt10262712	8.1	8
tt10263320	2.7	8415
tt10264340	2.6	293
tt10264878	5.5	246
tt10265034	6.6	4057
tt10267020	5.2	30
tt10268496	5.6	7
tt10268550	6.7	266
tt10268654	7.2	8
tt10268922	5.5	183
tt10269474	6.8	5
tt10269890	7.4	66
tt10270008	7.2	5
tt10270344	6.2	62
tt10272386	8.3	71511
tt10272534	6.6	1898
tt10274284	5.7	1357
tt10274594	7.1	184
tt10275398	4.8	31
tt10275546	7.1	526
tt10276054	6.4	97
