**movies.txt** \- Contains the following information for titles:

-   tconst (string) - alphanumeric unique identifier of the title
-   primaryTitle (string) the more popular title / the title used by the filmmakers on promotional materials at the point of release
-   startYear (YYYY) represents the release year of a title. In the case of TV Series, it is the series start year
-   genre1-genre3 includes up to three genres associated with the title

tconst	primaryTitle	startYear	genre1	genre2	genre3
tt10049262	James & Pat & Dave	2020	Comedy	Romance	
tt10049382	Faith and a Miracle	2022	Drama	Family	
tt10049720	Charlie Hustle	2021	Drama		
tt10049768	Unarmed Man	2019	Drama		
tt10050004	Hang Ten	2019	Drama		
tt10050292	Reincarnation	2019	Drama		
tt10050404	Tian Shang De Hai Zi	2018	Drama		
tt10050592	The Age of Sebastian	2018	Drama		
tt10050608	Drama	2019	Drama		
tt10050614	Arayakadavil	2019	Drama		
tt10050722	Thing I Don't Get	2018	Drama		
tt10051088	Curveball	2020	Comedy	Crime	History
tt10051586	Scare Attraction	2019	Comedy	Horror	Thriller
tt10052156	Shell and Joint	2019	Drama		
tt10052314	White Fish Season	2019	Drama	Family	
tt10052452	Jeremiah's Woods	2018	Comedy	Horror	
tt10053058	Angel Sign	2019	Drama	Romance	
tt10054316	Guest House	2020	Comedy		
tt10054536	Shiva's Daughter	2019	Drama		
tt10054604	Girlfriends Reunited	2020	Comedy	Drama	
tt10054940	Arbëria	2019	Drama		
tt10055762	Mullapoo Viplavam	2019	Drama		
tt10055774	Mere Pyare Deshvasiyom	2019	Comedy		
tt10056070	Das Bürgermeistermädchen	2018	Comedy	Drama	
tt10056322	MeloDylan	2019	Drama		
tt10056452	Zombolicious	2019	Comedy		
tt10056510	Dharma Prabhu	2019	Drama	Fantasy	
tt10057796	Best Wishes	2019	Drama		
tt10059220	Blood of God	2019	Drama		
tt10059236	My Second Year in College	2019	Drama	Romance	
tt10059624	Heinz	2018	Animation		
tt10061256	Hot Gimmick: Girl Meets Boy	2019	Drama		
tt10061766	Windfall	2019	Comedy	Crime	Drama
tt10062102	Jattan Diyan Dildariyan	2016	Drama		
tt10062614	Guilty	2020	Drama	Thriller	
tt10062628	Sombra	2021	Drama		
tt10062650	O Olho e a Faca	2019	Drama	Thriller	
tt10062704	Sasha's Hell	2019	Drama	Horror	
tt10063040	Lalji Qalandarr	2019	Drama	Musical	
tt10063078	Antropofaga Makumba	2018	Drama		
tt10063192	Memoria	2019	Drama		
tt10065576	The Tiny Life of Butcher Duke	2019	Comedy		
tt10065694	Antebellum	2020	Drama	Horror	Mystery
tt10065750	My Nudity Means Nothing	2019	Drama		
tt10066040	The Big Step	2019	Comedy		
tt10066162	Song of Youth	2019	Drama		
tt10066262	Depois de Ser Cinza	2020	Drama		
tt10066268	Despair	2019	Drama		
tt10066376	Goa Girls	2016	Romance		
tt10066396	Dr Prasad c/o sitara	2018	Comedy	Horror	Thriller
tt10066526	Mantan Manten	2019	Drama	Romance	
tt10066788	Blizhe, chem kazhetsya	2016	Drama		
tt10068184	Eigaban Futari ecchi: Rabu agein	2019	Comedy	Romance	
tt10069972	The Unbendable	2016	Drama		
tt10071352	The Mountain Minor	2019	Drama		
tt10071862	Mazlum Kuzey & Kuddusi 2 La! Kasada Para Var!	2019	Comedy		
tt10071942	Kaun Mera Kaun Tera	2017	Comedy		
tt10072662	Il materiale emotivo	2021	Comedy		
tt10073452	As Far as I Know	2020	Drama		
